Output of simple 2-box model under RCP3PD radiative forcing,
Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.132488,
Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.132488,
High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.79689,
High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      2.06191,
Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
1765.00,999.000,0.00000,0.00000,0.00300000,0.0517020,0.0473076,0.0517425,0.228903
1766.00,999.000,0.126027,0.000955297,0.0113383,0.0537838,0.0376486,-0.0641571,-0.0377011
1767.00,999.000,0.273031,0.00142472,0.0250149,0.0601532,0.0437987,-0.0484085,-0.0183742
1768.00,999.000,0.278871,0.000197399,0.0440298,0.0683658,0.0517357,-0.0282047,0.00638522
1769.00,999.000,0.242045,-0.00127844,0.0683830,0.0751883,0.0583409,-0.0115813,0.0267006
1770.00,999.000,0.242824,-0.00273384,0.0980744,0.0806955,0.0636847,0.00164802,0.0428047
1771.00,999.000,0.284142,-0.00454133,0.134104,0.0863385,0.0691663,0.0150314,0.0590490
1772.00,999.000,0.299857,-0.00632004,0.175472,0.0923559,0.0750159,0.0291515,0.0761473
1773.00,999.000,0.290756,-0.00768095,0.222179,0.0978615,0.0803789,0.0418913,0.0915145
1774.00,999.000,0.278100,-0.00899457,0.274223,0.102435,0.0848482,0.0522664,0.103954
1775.00,999.000,0.268839,-0.0102608,0.331606,0.106175,0.0885196,0.0605371,0.113792
1776.00,999.000,0.276856,-0.0114799,0.394328,0.109520,0.0918125,0.0677824,0.122353
1777.00,999.000,0.305761,-0.0126524,0.462387,0.113145,0.0953804,0.0756735,0.131691
1778.00,999.000,0.337875,-0.0137792,0.535785,0.117419,0.0995793,0.0851239,0.142926
1779.00,999.000,0.347581,-0.0148612,0.614521,0.121951,0.104031,0.0951840,0.154895
1780.00,999.000,0.341674,-0.0159002,0.698596,0.126077,0.108097,0.104243,0.165626
1781.00,999.000,0.333722,-0.0173357,0.789008,0.129556,0.111543,0.111683,0.174357
1782.00,999.000,0.291020,-0.0187348,0.884759,0.131852,0.113852,0.116176,0.179458
1783.00,999.000,0.175605,-0.0196591,0.985849,0.131305,0.113418,0.113692,0.176000
1784.00,999.000,0.0902692,-0.0205406,1.09228,0.127513,0.109852,0.103283,0.162838
1785.00,999.000,0.162453,-0.0213771,1.20404,0.123957,0.106509,0.0934660,0.150415
1786.00,999.000,0.289562,-0.0221664,1.32115,0.124142,0.106771,0.0928222,0.149249
1787.00,999.000,0.352999,-0.0229061,1.44359,0.127502,0.110098,0.0999823,0.157655
1788.00,999.000,0.361769,-0.0235941,1.57137,0.131716,0.114254,0.109269,0.168668
1789.00,999.000,0.251054,-0.0242280,1.70449,0.133792,0.116350,0.113365,0.173317
1790.00,999.000,0.0888822,-0.0248062,1.84295,0.131124,0.113869,0.105890,0.163790
1791.00,999.000,0.108020,-0.0257757,1.98774,0.126403,0.109405,0.0933997,0.148127
1792.00,999.000,0.232799,-0.0266920,2.13788,0.124636,0.107784,0.0881162,0.141306
1793.00,999.000,0.294575,-0.0271103,2.29335,0.126194,0.109371,0.0909930,0.144497
1794.00,999.000,0.291738,-0.0274789,2.45416,0.128576,0.111754,0.0959501,0.150247
1795.00,999.000,0.256846,-0.0277995,2.62031,0.130082,0.113295,0.0988263,0.153454
1796.00,999.000,0.245053,-0.0280741,2.79179,0.130659,0.113940,0.0994910,0.153961
1797.00,999.000,0.262057,-0.0287504,2.96962,0.131279,0.114628,0.100290,0.154638
1798.00,999.000,0.277467,-0.0293838,3.15278,0.132395,0.115794,0.102304,0.156805
1799.00,999.000,0.285635,-0.0295300,3.34129,0.133796,0.117238,0.105056,0.159882
1800.00,999.000,0.303460,-0.0300800,3.53613,0.135491,0.118965,0.108566,0.163893
1801.00,999.000,0.325814,-0.0305855,3.73631,0.137688,0.121179,0.113316,0.169424
1802.00,999.000,0.322938,-0.0314857,3.94382,0.139991,0.123498,0.118316,0.175253
1803.00,999.000,0.308295,-0.0318974,4.15568,0.141773,0.125317,0.122035,0.179509
1804.00,999.000,0.306252,-0.0313806,4.37287,0.143085,0.126683,0.124697,0.182482
1805.00,999.000,0.305549,-0.0312685,4.59540,0.144204,0.127865,0.127002,0.185040
1806.00,999.000,0.296562,-0.0315614,4.82427,0.145048,0.128782,0.128682,0.186839
1807.00,999.000,0.287336,-0.0318218,5.05848,0.145510,0.129332,0.129448,0.187519
1808.00,999.000,-0.206609,-0.0316127,5.29803,0.137564,0.121766,0.109677,0.163041
