Output of simple 2-box model under RCP45 radiative forcing,
Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.131374,
Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.131374,
High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.79717,
High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      2.06226,
Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
1765.00,999.000,0.00000,0.00000,0.00300000,-0.0208472,-0.326754,-0.0458419,0.499776
1766.00,999.000,0.126027,0.000955297,0.0113383,0.0535236,0.0373803,-0.0641237,-0.0376525
1767.00,999.000,0.273031,0.00142472,0.0250149,0.0598929,0.0435304,-0.0483751,-0.0183255
1768.00,999.000,0.278871,0.000197399,0.0440298,0.0681055,0.0514673,-0.0281713,0.00643389
1769.00,999.000,0.242045,-0.00127844,0.0683830,0.0749281,0.0580725,-0.0115479,0.0267492
1770.00,999.000,0.242824,-0.00273384,0.0980744,0.0804353,0.0634165,0.00168135,0.0428533
1771.00,999.000,0.284142,-0.00454133,0.134104,0.0860785,0.0688982,0.0150646,0.0590975
1772.00,999.000,0.299857,-0.00632004,0.175472,0.0920960,0.0747480,0.0291846,0.0761956
1773.00,999.000,0.290756,-0.00768095,0.222179,0.0976019,0.0801111,0.0419243,0.0915626
1774.00,999.000,0.278100,-0.00899457,0.274223,0.102175,0.0845807,0.0522993,0.104002
1775.00,999.000,0.268839,-0.0102608,0.331606,0.105916,0.0882524,0.0605698,0.113839
1776.00,999.000,0.276856,-0.0114799,0.394328,0.109261,0.0915455,0.0678149,0.122400
1777.00,999.000,0.305761,-0.0126524,0.462387,0.112886,0.0951138,0.0757058,0.131738
1778.00,999.000,0.337875,-0.0137792,0.535785,0.117161,0.0993130,0.0851560,0.142973
1779.00,999.000,0.347581,-0.0148612,0.614521,0.121693,0.103765,0.0952159,0.154942
1780.00,999.000,0.341674,-0.0159002,0.698596,0.125819,0.107832,0.104275,0.165672
1781.00,999.000,0.333722,-0.0173357,0.789008,0.129298,0.111278,0.111715,0.174403
1782.00,999.000,0.291020,-0.0187348,0.884759,0.131595,0.113587,0.116208,0.179503
1783.00,999.000,0.175605,-0.0196591,0.985849,0.131048,0.113153,0.113723,0.176045
1784.00,999.000,0.0902692,-0.0205406,1.09228,0.127257,0.109588,0.103314,0.162883
1785.00,999.000,0.162453,-0.0213771,1.20404,0.123701,0.106244,0.0934967,0.150459
1786.00,999.000,0.289562,-0.0221664,1.32115,0.123886,0.106507,0.0928526,0.149293
1787.00,999.000,0.352999,-0.0229061,1.44359,0.127247,0.109835,0.100012,0.157699
1788.00,999.000,0.361769,-0.0235941,1.57137,0.131462,0.113991,0.109299,0.168711
1789.00,999.000,0.251054,-0.0242280,1.70449,0.133537,0.116087,0.113395,0.173360
1790.00,999.000,0.0888822,-0.0248062,1.84295,0.130869,0.113606,0.105919,0.163834
1791.00,999.000,0.108020,-0.0257757,1.98774,0.126149,0.109142,0.0934291,0.148170
1792.00,999.000,0.232799,-0.0266920,2.13788,0.124383,0.107522,0.0881454,0.141349
1793.00,999.000,0.294575,-0.0271103,2.29335,0.125941,0.109109,0.0910221,0.144539
1794.00,999.000,0.291738,-0.0274789,2.45416,0.128323,0.111493,0.0959790,0.150289
1795.00,999.000,0.256846,-0.0277995,2.62031,0.129829,0.113033,0.0988550,0.153496
1796.00,999.000,0.245053,-0.0280741,2.79179,0.130406,0.113679,0.0995196,0.154003
1797.00,999.000,0.262057,-0.0287504,2.96962,0.131026,0.114367,0.100318,0.154680
1798.00,999.000,0.277467,-0.0293838,3.15278,0.132142,0.115534,0.102332,0.156846
1799.00,999.000,0.285635,-0.0295300,3.34129,0.133544,0.116977,0.105084,0.159923
1800.00,999.000,0.303460,-0.0300800,3.53613,0.135239,0.118705,0.108594,0.163934
1801.00,999.000,0.325814,-0.0305855,3.73631,0.137436,0.120919,0.113344,0.169464
1802.00,999.000,0.322938,-0.0314857,3.94382,0.139740,0.123239,0.118344,0.175294
1803.00,999.000,0.308295,-0.0318974,4.15568,0.141522,0.125057,0.122063,0.179549
1804.00,999.000,0.306252,-0.0313806,4.37287,0.142834,0.126424,0.124724,0.182522
1805.00,999.000,0.305549,-0.0312685,4.59540,0.143953,0.127606,0.127029,0.185079
1806.00,999.000,0.296562,-0.0315614,4.82427,0.144797,0.128523,0.128709,0.186878
1807.00,999.000,0.287336,-0.0318218,5.05848,0.145260,0.129073,0.129475,0.187559
1808.00,999.000,-0.206609,-0.0316127,5.29803,0.137313,0.121507,0.109704,0.163080
1809.00,999.000,-1.35012,-0.0313782,5.54291,0.103025,0.0885067,0.0255188,0.0596877
1810.00,999.000,-1.75196,-0.0311204,5.79314,0.0468602,0.0343486,-0.112209,-0.109235
1811.00,999.000,-0.956129,-0.0312737,6.04970,0.00350408,-0.00751477,-0.218649,-0.239677
1812.00,999.000,-0.279183,-0.0313998,6.31160,-0.0105312,-0.0211308,-0.253390,-0.282147
1813.00,999.000,-0.0779071,-0.0310632,6.57884,-0.00840853,-0.0191683,-0.248565,-0.276087
1814.00,999.000,-0.598962,-0.0307014,6.85141,-0.0118564,-0.0225795,-0.257304,-0.286641
1815.00,999.000,-2.06194,-0.0307462,7.13033,-0.0479218,-0.0574766,-0.345854,-0.394999
1816.00,999.000,-2.56318,-0.0311961,7.41558,-0.112631,-0.120064,-0.504607,-0.589323
1817.00,999.000,-1.39423,-0.0316187,7.70717,-0.159029,-0.165055,-0.618702,-0.728777
1818.00,999.000,-0.265648,-0.0315879,8.00410,-0.162066,-0.168251,-0.626752,-0.738164
1819.00,999.000,0.185347,-0.0311070,8.30637,-0.138527,-0.145800,-0.569703,-0.667748
1820.00,999.000,0.311867,-0.0306063,8.61398,-0.108042,-0.116614,-0.495526,-0.576380
1821.00,999.000,0.318984,-0.0300866,8.92692,-0.0787631,-0.0885547,-0.424173,-0.488528
1822.00,999.000,0.321522,-0.0299700,9.24620,-0.0526091,-0.0634753,-0.360376,-0.409995
1823.00,999.000,0.325542,-0.0302540,9.57183,-0.0292692,-0.0410797,-0.303438,-0.339933
1824.00,999.000,0.333737,-0.0300959,9.90278,-0.00833398,-0.0209762,-0.252358,-0.277107
1825.00,999.000,0.347678,-0.0299164,10.2401,0.0106249,-0.00275448,-0.206059,-0.220184
1826.00,999.000,0.366029,-0.0297187,10.5827,0.0279978,0.0139598,-0.163589,-0.167992
1827.00,999.000,0.385377,-0.0295004,10.9317,0.0440526,0.0294231,-0.124293,-0.119727
1828.00,999.000,0.395600,-0.0292650,11.2860,0.0588019,0.0436460,-0.0881438,-0.0753506
1829.00,999.000,0.369518,-0.0285987,11.6457,0.0716309,0.0560334,-0.0566201,-0.0366671
1830.00,999.000,0.151585,-0.0303736,12.0166,0.0789900,0.0631569,-0.0385555,-0.0145264
1831.00,999.000,-0.242712,-0.0317203,12.3920,0.0753959,0.0597175,-0.0475080,-0.0255571
1832.00,999.000,-0.350690,-0.0305939,12.7726,0.0638558,0.0486043,-0.0759159,-0.0604240
1833.00,999.000,-0.0619758,-0.0302696,13.1596,0.0565872,0.0415997,-0.0937748,-0.0823135
1834.00,999.000,-0.215300,-0.0299319,13.5520,0.0523707,0.0375320,-0.104128,-0.0949780
1835.00,999.000,-0.819113,-0.0295765,13.9507,0.0360242,0.0217516,-0.144135,-0.143968
1836.00,999.000,-0.735064,-0.0308003,14.3587,0.0128679,-0.000621349,-0.200906,-0.213482
1837.00,999.000,-0.124807,-0.0316002,14.7720,0.00386299,-0.00936371,-0.223217,-0.240735
1838.00,999.000,0.249179,-0.0311779,15.1917,0.0122285,-0.00135116,-0.203035,-0.215891
1839.00,999.000,0.363501,-0.0311298,15.6178,0.0277704,0.0135983,-0.165222,-0.169449
1840.00,999.000,0.343505,-0.0314465,16.0511,0.0431498,0.0284098,-0.127786,-0.123505
1841.00,999.000,0.319340,-0.0317322,16.4909,0.0560881,0.0408842,-0.0963252,-0.0849241
1842.00,999.000,0.319973,-0.0319822,16.9379,0.0672010,0.0516124,-0.0693305,-0.0518498
1843.00,999.000,0.293452,-0.0322037,17.3913,0.0766526,0.0607507,-0.0463960,-0.0237794
