Output of simple 2-box model under RCP6 radiative forcing,
Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.125056,
Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.125056,
High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.79383,
High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      2.05827,
Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
1765.00,999.000,0.00000,0.00000,0.00300000,-0.0569996,-0.670269,-0.115952,0.793844
1766.00,999.000,0.126027,0.000955297,0.0113383,0.0520724,0.0358832,-0.0645104,-0.0382063
1767.00,999.000,0.273031,0.00142472,0.0250149,0.0584415,0.0420330,-0.0487621,-0.0188798
1768.00,999.000,0.278871,0.000197399,0.0440298,0.0666539,0.0499699,-0.0285585,0.00587934
1769.00,999.000,0.242045,-0.00127844,0.0683830,0.0734766,0.0565752,-0.0119349,0.0261950
1770.00,999.000,0.242824,-0.00273384,0.0980744,0.0789843,0.0619196,0.00129499,0.0422999
1771.00,999.000,0.284142,-0.00454133,0.134104,0.0846282,0.0674020,0.0146793,0.0585455
1772.00,999.000,0.299857,-0.00632004,0.175472,0.0906468,0.0732528,0.0288005,0.0756456
1773.00,999.000,0.290756,-0.00768095,0.222179,0.0961539,0.0786172,0.0415419,0.0910150
1774.00,999.000,0.278100,-0.00899457,0.274223,0.100729,0.0830881,0.0519187,0.103457
1775.00,999.000,0.268839,-0.0102608,0.331606,0.104471,0.0867613,0.0601911,0.113297
1776.00,999.000,0.276856,-0.0114799,0.394328,0.107817,0.0900560,0.0674383,0.121861
1777.00,999.000,0.305761,-0.0126524,0.462387,0.111444,0.0936258,0.0753314,0.131202
1778.00,999.000,0.337875,-0.0137792,0.535785,0.115721,0.0978267,0.0847839,0.142440
1779.00,999.000,0.347581,-0.0148612,0.614521,0.120254,0.102281,0.0948461,0.154412
1780.00,999.000,0.341674,-0.0159002,0.698596,0.124383,0.106349,0.103907,0.165146
