Output of simple 2-box model under RCP45 radiative forcing,
Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.500000,
Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.500000,
High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.50000,
High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      1.50000,
Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
1822.00,999.000,0.321522,-0.0299700,9.24620,-0.107478,-0.102281,-0.284175,-0.350324
1823.00,999.000,0.325542,-0.0302540,9.57183,-0.0841354,-0.0798870,-0.227238,-0.280274
1824.00,999.000,0.333737,-0.0300959,9.90278,-0.0631988,-0.0597859,-0.176156,-0.217454
1825.00,999.000,0.347678,-0.0299164,10.2401,-0.0442370,-0.0415651,-0.129859,-0.160544
1826.00,999.000,0.366029,-0.0297187,10.5827,-0.0268594,-0.0248500,-0.0873927,-0.108374
1827.00,999.000,0.385377,-0.0295004,10.9317,-0.0107982,-0.00938424,-0.0481054,-0.0601382
1828.00,999.000,0.395600,-0.0292650,11.2860,0.00395931,0.00484294,-0.0119677,-0.0157990
1829.00,999.000,0.369518,-0.0285987,11.6457,0.0168008,0.0172388,0.0195358,0.0228272
1830.00,999.000,0.151585,-0.0303736,12.0166,0.0241639,0.0243626,0.0375967,0.0449495
1831.00,999.000,-0.242712,-0.0317203,12.3920,0.0205540,0.0209043,0.0286798,0.0339912
1832.00,999.000,-0.350690,-0.0305939,12.7726,0.00899822,0.00977229,0.000307173,-0.000803963
1833.00,999.000,-0.0619758,-0.0302696,13.1596,0.00172430,0.00275896,-0.0175368,-0.0226691
1834.00,999.000,-0.215300,-0.0299319,13.5520,-0.00249318,-0.00131320,-0.0278835,-0.0353293
1835.00,999.000,-0.819113,-0.0295765,13.9507,-0.0188365,-0.0170942,-0.0678922,-0.0843339
1836.00,999.000,-0.735064,-0.0308003,14.3587,-0.0419957,-0.0394735,-0.124654,-0.153834
1837.00,999.000,-0.124807,-0.0316002,14.7720,-0.0510158,-0.0482341,-0.146930,-0.181018
1838.00,999.000,0.249179,-0.0311779,15.1917,-0.0426663,-0.0402406,-0.126712,-0.156101
1839.00,999.000,0.363501,-0.0311298,15.6178,-0.0271361,-0.0253061,-0.0888720,-0.109605
